LSOA21CD,area_m2_2021
E01000001,133759
E01000002,225674
E01000003,57288.4
E01000005,190509
E01000006,144195
E01000007,198638
E01000008,192772
E01000009,127687
E01000011,90289.1
E01000012,141424
E01000013,208865
E01000014,340191
E01000015,279687
E01000016,196147
E01000017,160743
E01000018,173253
E01000019,180914
E01000020,188493
E01000021,172036
E01000022,128353
E01000024,127911
E01000025,149271
E01000027,1482270
E01000028,147315
E01000029,252990
E01000030,283592
E01000031,843506
E01000032,379321
E01000033,142773
E01000034,514941
E01000035,394370
E01000036,429868
E01000037,237523
E01000038,212626
E01000039,1526380
E01000040,169278
E01000041,152096
E01000042,231994
E01000043,265291
E01000044,174521
E01000045,299601
E01000046,157084
E01000049,214797
E01000050,137573
E01000051,65636
E01000052,200565
E01000053,178093
E01000054,171028
E01000055,147219
E01000056,248942
E01000057,146500
E01000058,182149
E01000059,208287
E01000060,550382
E01000061,605453
E01000062,225906
E01000063,182783
E01000064,209332
E01000065,231179
E01000066,245844
E01000067,192143
E01000068,341677
E01000069,197667
E01000070,393634
E01000071,270460
E01000072,522567
E01000073,284369
E01000074,164437
E01000075,517484
E01000076,189495
E01000077,173992
E01000078,171836
E01000079,308769
E01000080,232956
E01000081,186415
E01000082,163000
E01000083,179274
E01000084,151951
E01000085,145114
E01000086,140155
E01000087,375333
E01000088,225009
E01000089,150242
E01000090,1945270
E01000091,248005
E01000093,291220
E01000094,602971
E01000095,2290510
E01000096,599374
E01000097,181424
E01000098,173017
E01000099,310122
E01000100,210478
E01000101,161030
E01000102,254855
E01000103,698240
E01000104,216166
E01000105,223898
E01000106,220861
E01000107,541692
E01000108,238528
E01000110,188423
E01000111,301360
E01000112,276568
E01000113,154670
E01000114,256224
E01000115,280249
E01000116,245322
E01000117,329400
E01000118,285010
E01000119,400464
E01000120,242971
E01000121,376719
E01000122,235774
E01000123,524608
E01000124,260234
E01000126,157797
E01000127,196661
E01000128,242813
E01000129,174415
E01000130,177081
E01000131,335364
E01000132,152688
E01000133,159394
E01000134,160303
E01000135,334093
E01000136,520185
E01000137,124275
E01000138,259100
E01000139,352274
E01000140,143177
E01000141,370196
E01000142,200450
E01000143,172286
E01000144,193772
E01000145,209834
E01000146,208555
E01000147,203094
E01000150,464460
E01000151,142957
E01000152,182341
E01000153,165121
E01000154,133236
E01000156,178311
E01000157,124598
E01000158,269337
E01000159,495698
E01000160,302271
