,Conversion_2011_2018_pct,New_build_2011_2018_pct,house_change_pct,all_household_dependent_children_change_pct,all_household_non_dependent_children_change_pct,professional_occupations_change_pct,other_higer_occupation_change_pct,avg_churn,Elementary_occupations_change_pct,Resident_in_UK_4_and_Less_change_pct,all_usual_residents_change_pct,professional_occupations_2011_pct,All_usual_residents_2011,cluste_robust,LSOA21CD,classification_robust,classification_cluster_robust,LSOA21NM,borough_name,space
0,0.985065948,0.869983323,-0.355493073,-0.200854629,-0.099572351,-0.424813786,-0.219712976,-0.262856267,0.069121343,1.049912525,-0.143708936,0.900246693,-0.195567105,3,E01000002,gen,cluster4,City of London 001B,City of London,City of London
1,0.96321388,-0.018735257,-0.400905666,-0.130785291,-0.08553118,-0.08323322,0.030708029,-0.132690465,-0.053582623,0.401721845,0.292820792,0.550130609,-0.283632749,3,E01000003,gen,cluster4,City of London 001C,City of London,City of London
2,-0.292753698,-0.018735257,-0.22740676,-0.33463987,-0.354606878,0.510240874,1.001616724,-0.638254578,-0.078289726,0.447097717,-1.920426164,-0.935020682,0.357744356,0,E01000051,gen,cluster1,Barking and Dagenham 021D,Barking and Dagenham,outer
3,-0.276982988,-0.016846622,0.244506004,-0.698588527,1.188970086,-0.049815896,0.186638939,-0.198088647,-0.046488601,-0.158489173,0.047294339,-0.534583321,0.672229067,0,E01000126,gen,cluster1,Barnet 026A,Barnet,outer
4,-0.089114019,-0.014961362,0.152258176,0.312317852,-0.044623861,-0.218777444,-0.087900113,0,-0.314916043,0.036179157,-0.127080464,0.030616385,-0.202553486,2,E01000139,potential gen,cluster3,Barnet 041B,Barnet,outer
5,-0.23085116,-0.007453937,0.361475088,0.321218631,0.046838212,-0.241518859,-0.081093154,-0.198088647,-0.064194617,-0.134184728,0.129128388,-0.272595071,0.531378014,2,E01000150,potential gen,cluster3,Barnet 036A,Barnet,outer
6,-0.292753698,-0.018735257,-0.006364129,-0.963653362,0.097602294,0.474786363,0.502855471,0.484366642,0.165971006,0.241423963,0.640388858,-0.703372024,0.118877848,0,E01000152,gen,cluster1,Barnet 026C,Barnet,outer
7,-0.292753698,0.118904898,0.011932665,-0.180291928,0.240458835,0.126196212,0.431184399,0.34280272,0.375466071,-0.252799542,0.525993017,-0.613199868,-0.270181491,0,E01000154,gen,cluster1,Barnet 026E,Barnet,outer
8,-0.292753698,1.078466065,0.025320806,-0.651962897,0.191118171,0.509321876,0.741997144,-0.132690465,-0.898280804,-0.336080289,0.482867612,-0.540118934,0.218656736,0,E01000189,gen,cluster1,Barnet 014D,Barnet,outer
9,0.728917506,-0.016846622,0.376098963,0.075445868,0.061502241,-0.392192375,-0.025231504,-0.198088647,-0.007194671,0.064583933,0.040589359,0.190471276,0.086887962,2,E01000234,potential gen,cluster3,Barnet 021D,Barnet,outer
10,-0.143673066,0.011999585,-0.174487292,-0.533933762,-0.370241313,0.321873612,0.315624522,-0.326993932,-0.137502532,-0.242721272,0.18456021,-0.359324393,0.268255301,0,E01000257,gen,cluster1,Barnet 017B,Barnet,outer
11,-0.012255842,0.022044821,0.823070461,-0.243963057,0.520113464,-0.234473964,-0.174921999,-0.698625569,-0.057123827,-0.081428673,-0.140213649,0.161243088,-0.045460071,2,E01000263,potential gen,cluster3,Barnet 016C,Barnet,outer
12,-0.292753698,-0.008389432,0.805527083,-0.273435442,0.685614154,-0.553644608,-0.240054075,-0.758371003,-0.212468377,0.190839879,-0.197908464,0.129380612,-0.102582412,2,E01000266,potential gen,cluster3,Barnet 011B,Barnet,outer
13,-0.102497143,0.1064861,-0.229572315,0.048467754,0.567871989,0.066856944,-0.102871206,0,0.316143564,0.084870478,0.020556157,0.002209634,-0.034718952,3,E01000277,gen,cluster4,Barnet 012B,Barnet,outer
14,1.006981602,0.422506487,0.168023126,-0.540288899,-0.179495385,0.896477048,-0.096066884,0.203779865,-0.285557316,-0.294764729,0.538327348,-0.29076956,-0.364314044,0,E01000281,gen,cluster1,Barnet 008D,Barnet,outer
15,-0.292753698,-0.016846622,0.510909937,-0.136407911,0.299095791,-0.346841487,-0.375355166,-0.326993932,0.069121343,0.023595104,0.066765587,0.192398413,0.091431752,2,E01000282,potential gen,cluster3,Barnet 008E,Barnet,outer
16,-0.292753698,-0.006519278,0.834191011,-0.217376853,-0.012809848,0.021312186,-0.282055075,-0.698625569,0.284860027,-0.158489173,-0.159699219,0.274088543,-0.201556863,2,E01000283,potential gen,cluster3,Barnet 012C,Barnet,outer
17,-0.292753698,-0.018735257,0.358571412,-0.234602922,0.383321188,0.318618168,0.193490752,-0.198088647,0.06544856,0.033895091,-0.077383399,-0.595687854,-0.051880119,0,E01000291,gen,cluster1,Barnet 004E,Barnet,outer
18,-0.201054766,0.073410385,0.061855247,-0.290381059,-0.063567592,0.114570635,0.358239866,0,0.550334533,-0.267985928,-0.105888275,-0.398472589,0.037475946,0,E01000305,gen,cluster1,Barnet 036B,Barnet,outer
19,0.196287418,-0.014961362,0.416016369,0.351597701,-0.451116572,-1.105916393,-0.038863563,-0.262856267,2.990392847,0.186496651,0.238579632,-0.237857686,0.081220437,2,E01000306,potential gen,cluster3,Barnet 036C,Barnet,outer
20,-0.116049868,1.070542705,-0.247498532,-0.564155323,-0.150531145,0.759166576,0.815464796,0.067293476,0.047142664,0.238219538,0.511363428,-0.818541936,-0.114038609,1,E01000308,renew,cluster2,Barnet 036D,Barnet,outer
21,0.548394043,-0.018735257,-0.029520837,0.036717746,-0.082402596,-0.275577933,0.248342524,0.135219902,-0.209101546,-0.777312049,-0.007234757,-0.309198266,0.271922801,0,E01000313,gen,cluster1,Barnet 036F,Barnet,outer
22,-0.23085116,0.011081479,0.639907984,0.572012256,-0.59978983,0.015667322,-0.387505243,-0.453381857,0.181102896,0.039601985,-0.02740448,-0.511593263,-0.082651871,2,E01000356,potential gen,cluster3,Bexley 009A,Bexley,outer
23,-0.292753698,1.079795799,0.310814314,0.691674161,0.487336281,0.365459756,0.801595891,-0.515633358,-0.235927605,0.166876334,-0.499086514,-0.785675485,-0.052948336,0,E01000373,gen,cluster1,Bexley 008A,Bexley,outer
24,-0.246034287,-0.014019995,0.413690244,0.802070311,-0.314386397,0.167844883,0.163350616,-0.198088647,-0.071249917,0.094962893,0.37623393,-0.41849848,-0.15111284,2,E01000407,potential gen,cluster3,Bexley 005D,Bexley,outer
25,-0.276982988,-0.001858491,0.799557048,0.377650879,0.050091651,-0.075553127,-0.240054075,-0.698625569,-0.249247547,0.082623139,0.000564493,-0.315709826,0.145477709,2,E01000425,potential gen,cluster3,Bexley 025D,Bexley,outer
26,-0.292753698,-0.010262932,0.688612969,0.271575713,-0.105793182,-0.358503161,-0.227850812,-0.577257388,-0.074771758,0.136105306,-0.049177253,-0.178538852,0.015357483,2,E01000444,potential gen,cluster3,Bexley 023B,Bexley,outer
27,-0.292753698,-0.018735257,0.679836947,-0.10901944,-0.261783739,-0.234473964,-0.496643971,-0.453381857,0.04349309,0.128364065,-0.22725273,-0.078113286,-0.276918383,2,E01000460,potential gen,cluster3,Bexley 022E,Bexley,outer
28,0.196287418,0.384259515,-0.060766885,0.195431983,-0.413794918,-0.400262663,0.070320862,-0.132690465,0.249961441,-0.141454361,0.015413106,0.074605538,0.446445744,3,E01000491,gen,cluster4,Brent 030B,Brent,outer
29,-0.062847811,-0.017790517,0.443230976,0.730812071,0.250744718,-0.530786538,-0.348338662,-0.326993932,0.007210152,-0.024949656,-0.135109397,0.069007457,-0.313098951,2,E01000492,potential gen,cluster3,Brent 030C,Brent,outer
30,-0.23085116,-0.018735257,0.565829043,0.165139203,0.714067818,-0.433113551,-0.121916877,-0.326993932,0.347674167,-0.076680087,-0.115181615,-0.005169686,0.015357483,2,E01000493,potential gen,cluster3,Brent 030D,Brent,outer
31,-0.172001802,-0.018735257,0.590093593,0.000830929,-0.108899051,-0.810632319,-0.238698364,-0.326993932,0.181102896,-0.636103909,-0.069735118,-0.096976547,0.012057929,2,E01000507,potential gen,cluster3,Brent 018C,Brent,outer
32,0.125149641,1.07070622,0.299745908,-0.154822929,-0.468882215,0.050502693,0.056657031,0.203779865,0.331877986,-0.108885196,0.49564671,-0.467867056,0.09370691,0,E01000516,gen,cluster1,Brent 002C,Brent,outer
33,-0.075898297,0.558866743,-0.121310396,-0.298055022,0.077866587,0.089635036,0.338989568,-0.132690465,0.021676895,0.17997037,0.230086387,-0.792450058,-0.137798526,0,E01000528,gen,cluster1,Brent 025F,Brent,outer
