,Unnamed: 0_x,Conversion_2011_2018_pct_x,New_build_2011_2018_pct_x,house_change_pct_x,all_household_dependent_children_change_pct_x,all_household_non_dependent_children_change_pct_x,professional_occupations_change_pct_x,other_higer_occupation_change_pct_x,avg_churn_x,Elementary_occupations_change_pct_x,Resident_in_UK_4_and_Less_change_pct_x,all_usual_residents_change_pct_x,professional_occupations_2011_pct_x,All_usual_residents_2011_x,cluste_robust_x,LSOA21CD,classification_robust_x,classification_cluster_robust_x,LSOA21NM_x,borough_name_x,space_x,Unnamed: 0_y,Conversion_2011_2018_pct_y,New_build_2011_2018_pct_y,house_change_pct_y,all_household_dependent_children_change_pct_y,all_household_non_dependent_children_change_pct_y,household_no_children_change_pct,professional_occupations_change_pct_y,other_higer_occupation_change_pct_y,avg_churn_y,Elementary_occupations_change_pct_y,Resident_in_UK_4_and_Less_change_pct_y,all_usual_residents_change_pct_y,professional_occupations_2011_pct_y,All_usual_residents_2011_y,cluste_robust_y,classification_robust_y,classification_cluster_robust_y,LSOA21NM_y,borough_name_y,space_y
0,0,0.985065948,0.869983323,-0.355493073,-0.200854629,-0.099572351,-0.424813786,-0.219712976,-0.262856267,0.069121343,1.049912525,-0.143708936,0.900246693,-0.195567105,3,E01000002,gen,cluster4,City of London 001B,City of London,City of London,0,0.985065948,0.869983323,-0.355493073,-0.200854629,-0.099572351,-0.316585404,-0.424813786,-0.219712976,-0.262856267,0.069121343,1.049912525,-0.143708936,0.900246693,-0.195567105,0,gen,cluster1,City of London 001B,City of London,City of London
1,1,0.96321388,-0.018735257,-0.400905666,-0.130785291,-0.08553118,-0.08323322,0.030708029,-0.132690465,-0.053582623,0.401721845,0.292820792,0.550130609,-0.283632749,3,E01000003,gen,cluster4,City of London 001C,City of London,City of London,1,0.96321388,-0.018735257,-0.400905666,-0.130785291,-0.08553118,0.304452435,-0.08323322,0.030708029,-0.132690465,-0.053582623,0.401721845,0.292820792,0.550130609,-0.283632749,0,gen,cluster1,City of London 001C,City of London,City of London
2,2,-0.292753698,-0.018735257,-0.22740676,-0.33463987,-0.354606878,0.510240874,1.001616724,-0.638254578,-0.078289726,0.447097717,-1.920426164,-0.935020682,0.357744356,0,E01000051,gen,cluster1,Barking and Dagenham 021D,Barking and Dagenham,outer,2,-0.292753698,-0.018735257,-0.22740676,-0.33463987,-0.354606878,0.619404693,0.510240874,1.001616724,-0.638254578,-0.078289726,0.447097717,-1.920426164,-0.935020682,0.357744356,3,gen,cluster4,Barking and Dagenham 021D,Barking and Dagenham,outer
3,3,-0.276982988,-0.016846622,0.244506004,-0.698588527,1.188970086,-0.049815896,0.186638939,-0.198088647,-0.046488601,-0.158489173,0.047294339,-0.534583321,0.672229067,0,E01000126,gen,cluster1,Barnet 026A,Barnet,outer,3,-0.276982988,-0.016846622,0.244506004,-0.698588527,1.188970086,-0.286723451,-0.049815896,0.186638939,-0.198088647,-0.046488601,-0.158489173,0.047294339,-0.534583321,0.672229067,3,gen,cluster4,Barnet 026A,Barnet,outer
4,6,-0.292753698,-0.018735257,-0.006364129,-0.963653362,0.097602294,0.474786363,0.502855471,0.484366642,0.165971006,0.241423963,0.640388858,-0.703372024,0.118877848,0,E01000152,gen,cluster1,Barnet 026C,Barnet,outer,6,-0.292753698,-0.018735257,-0.006364129,-0.963653362,0.097602294,0.57303329,0.474786363,0.502855471,0.484366642,0.165971006,0.241423963,0.640388858,-0.703372024,0.118877848,3,gen,cluster4,Barnet 026C,Barnet,outer
5,7,-0.292753698,0.118904898,0.011932665,-0.180291928,0.240458835,0.126196212,0.431184399,0.34280272,0.375466071,-0.252799542,0.525993017,-0.613199868,-0.270181491,0,E01000154,gen,cluster1,Barnet 026E,Barnet,outer,7,-0.292753698,0.118904898,0.011932665,-0.180291928,0.240458835,0.104389899,0.126196212,0.431184399,0.34280272,0.375466071,-0.252799542,0.525993017,-0.613199868,-0.270181491,3,gen,cluster4,Barnet 026E,Barnet,outer
6,8,-0.292753698,1.078466065,0.025320806,-0.651962897,0.191118171,0.509321876,0.741997144,-0.132690465,-0.898280804,-0.336080289,0.482867612,-0.540118934,0.218656736,0,E01000189,gen,cluster1,Barnet 014D,Barnet,outer,8,-0.292753698,1.078466065,0.025320806,-0.651962897,0.191118171,0.591157578,0.509321876,0.741997144,-0.132690465,-0.898280804,-0.336080289,0.482867612,-0.540118934,0.218656736,3,gen,cluster4,Barnet 014D,Barnet,outer
7,10,-0.143673066,0.011999585,-0.174487292,-0.533933762,-0.370241313,0.321873612,0.315624522,-0.326993932,-0.137502532,-0.242721272,0.18456021,-0.359324393,0.268255301,0,E01000257,gen,cluster1,Barnet 017B,Barnet,outer,10,-0.143673066,0.011999585,-0.174487292,-0.533933762,-0.370241313,0.265342775,0.321873612,0.315624522,-0.326993932,-0.137502532,-0.242721272,0.18456021,-0.359324393,0.268255301,3,gen,cluster4,Barnet 017B,Barnet,outer
8,14,1.006981602,0.422506487,0.168023126,-0.540288899,-0.179495385,0.896477048,-0.096066884,0.203779865,-0.285557316,-0.294764729,0.538327348,-0.29076956,-0.364314044,0,E01000281,gen,cluster1,Barnet 008D,Barnet,outer,14,1.006981602,0.422506487,0.168023126,-0.540288899,-0.179495385,0.552618696,0.896477048,-0.096066884,0.203779865,-0.285557316,-0.294764729,0.538327348,-0.29076956,-0.364314044,3,gen,cluster4,Barnet 008D,Barnet,outer
9,17,-0.292753698,-0.018735257,0.358571412,-0.234602922,0.383321188,0.318618168,0.193490752,-0.198088647,0.06544856,0.033895091,-0.077383399,-0.595687854,-0.051880119,0,E01000291,gen,cluster1,Barnet 004E,Barnet,outer,17,-0.292753698,-0.018735257,0.358571412,-0.234602922,0.383321188,-0.320067607,0.318618168,0.193490752,-0.198088647,0.06544856,0.033895091,-0.077383399,-0.595687854,-0.051880119,3,gen,cluster4,Barnet 004E,Barnet,outer
