LSOA21CD,num_airbnb_12_21,density_airbnb,num_airbnb_rank,airbnb_total_price_2012_2021,num_airbnb_2012_2021,average_price_2012_2021
E01000001,11,0.008223746,59.4623889,1427,11,129.7272727
E01000002,12,0.005317405,62.02037719,1740,12,145
E01000003,14,0.024437757,66.44266204,1228,14,87.71428571
E01000005,79,0.041467857,98.42835465,11491,79,145.4556962
E01000006,6,0.004161032,42.02254498,363,6,60.5
E01000007,12,0.00604114,62.02037719,640,12,53.33333333
E01000008,2,0.001037495,14.74094949,125,2,62.5
E01000009,6,0.004698991,42.02254498,266,6,44.33333333
E01000011,4,0.004430214,30.65250379,127,4,31.75
E01000012,5,0.003535468,36.86321266,145,5,29
E01000013,1,0.000478778,5.007587253,20,1,20
E01000014,2,0.000587905,14.74094949,60,2,30
E01000015,10,0.003575425,56.6442662,701,10,70.1
E01000016,1,0.000509822,5.007587253,70,1,70
E01000017,2,0.001244222,14.74094949,55,2,27.5
E01000018,4,0.002308762,30.65250379,230,4,57.5
E01000019,5,0.002763744,36.86321266,425,5,85
E01000020,6,0.003183142,42.02254498,323,6,53.83333333
E01000021,1,0.000581274,5.007587253,50,1,50
E01000022,0,0,0,0,0,0
E01000024,0,0,0,0,0,0
E01000025,0,0,0,0,0,0
E01000027,3,0.000202392,23.30370692,205,3,68.33333333
E01000028,4,0.00271527,30.65250379,171,4,42.75
E01000029,4,0.00158109,30.65250379,134,4,33.5
E01000030,2,0.000705239,14.74094949,100,2,50
E01000031,4,0.000474211,30.65250379,386,4,96.5
E01000032,8,0.002109032,50.2276176,367,8,45.875
E01000033,0,0,0,0,0,0
E01000034,0,0,0,0,0,0
E01000035,3,0.000760707,23.30370692,95,3,31.66666667
E01000036,8,0.001861036,50.2276176,463,8,57.875
E01000037,1,0.000421012,5.007587253,25,1,25
E01000038,0,0,0,0,0,0
E01000039,0,0,0,0,0,0
E01000040,2,0.001181488,14.74094949,102,2,51
E01000041,0,0,0,0,0,0
E01000042,5,0.002155228,36.86321266,142,5,28.4
E01000043,2,0.000753889,14.74094949,580,2,290
E01000044,3,0.001718991,23.30370692,201,3,67
E01000045,4,0.001335109,30.65250379,276,4,69
E01000046,2,0.001273204,14.74094949,144,2,72
E01000049,1,0.000465556,5.007587253,40,1,40
E01000050,6,0.004361321,42.02254498,250,6,41.66666667
E01000051,4,0.006094217,30.65250379,381,4,95.25
E01000052,7,0.00349014,46.41231303,569,7,81.28571429
E01000053,1,0.000561504,5.007587253,30,1,30
E01000054,2,0.001169399,14.74094949,31,2,15.5
E01000055,1,0.00067926,5.007587253,50,1,50
E01000056,4,0.0016068,30.65250379,124,4,31
E01000057,0,0,0,0,0,0
E01000058,3,0.001647003,23.30370692,170,3,56.66666667
E01000059,2,0.000960214,14.74094949,45,2,22.5
E01000060,5,0.00090846,36.86321266,431,5,86.2
E01000061,2,0.000330331,14.74094949,49,2,24.5
E01000062,6,0.002655972,42.02254498,284,6,47.33333333
E01000063,5,0.002735484,36.86321266,361,5,72.2
E01000064,7,0.00334397,46.41231303,558,7,79.71428571
E01000065,3,0.001297696,23.30370692,415,3,138.3333333
E01000066,4,0.001627048,30.65250379,315,4,78.75
E01000067,3,0.001561337,23.30370692,74,3,24.66666667
E01000068,8,0.002341393,50.2276176,404,8,50.5
E01000069,1,0.000505901,5.007587253,50,1,50
E01000070,5,0.001270215,36.86321266,173,5,34.6
E01000071,7,0.002588183,46.41231303,412,7,58.85714286
E01000072,2,0.000382726,14.74094949,160,2,80
E01000073,4,0.001406623,30.65250379,184,4,46
E01000074,2,0.001216271,14.74094949,200,2,100
E01000075,1,0.000193243,5.007587253,131,1,131
E01000076,3,0.001583155,23.30370692,224,3,74.66666667
E01000077,0,0,0,0,0,0
E01000078,1,0.00058195,5.007587253,27,1,27
E01000079,4,0.001295467,30.65250379,111,4,27.75
E01000080,4,0.001717062,30.65250379,511,4,127.75
E01000081,3,0.001609313,23.30370692,610,3,203.3333333
E01000082,0,0,0,0,0,0
E01000083,3,0.001673416,23.30370692,361,3,120.3333333
E01000084,6,0.003948641,42.02254498,132,6,22
E01000085,2,0.001378227,14.74094949,80,2,40
E01000086,2,0.001426992,14.74094949,128,2,64
E01000087,1,0.00026643,5.007587253,35,1,35
E01000088,1,0.000444427,5.007587253,155,1,155
E01000089,6,0.003993557,42.02254498,423,6,70.5
E01000090,1,5.14E-05,5.007587253,35,1,35
E01000091,14,0.005645047,66.44266204,1088,14,77.71428571
E01000093,3,0.001030149,23.30370692,181,3,60.33333333
E01000094,6,0.000995073,42.02254498,2228,6,371.3333333
E01000095,2,8.73E-05,14.74094949,65,2,32.5
E01000096,4,0.000667363,30.65250379,176,4,44
E01000097,4,0.00220478,30.65250379,220,4,55
E01000098,1,0.000577978,5.007587253,50,1,50
E01000099,2,0.000644907,14.74094949,191,2,95.5
E01000100,0,0,0,0,0,0
E01000101,2,0.001242005,14.74094949,110,2,55
E01000102,4,0.00156952,30.65250379,555,4,138.75
E01000103,1,0.000143217,5.007587253,99,1,99
E01000104,4,0.00185043,30.65250379,241,4,60.25
E01000105,5,0.00223316,36.86321266,452,5,90.4
E01000106,1,0.000452773,5.007587253,72,1,72
E01000107,3,0.00055382,23.30370692,90,3,30
E01000108,4,0.001676952,30.65250379,343,4,85.75
E01000110,2,0.001061442,14.74094949,120,2,60
E01000111,2,0.000663658,14.74094949,150,2,75
E01000112,2,0.000723149,14.74094949,319,2,159.5
E01000113,1,0.000646538,5.007587253,150,1,150
E01000114,1,0.000390284,5.007587253,29,1,29
E01000115,5,0.001784128,36.86321266,410,5,82
E01000116,1,0.000407628,5.007587253,35,1,35
E01000117,1,0.000303582,5.007587253,279,1,279
E01000118,0,0,0,0,0,0
E01000119,4,0.000998841,30.65250379,274,4,68.5
E01000120,9,0.003704146,53.68523737,373,9,41.44444444
E01000121,1,0.00026545,5.007587253,80,1,80
E01000122,2,0.00084827,14.74094949,424,2,212
E01000123,15,0.002859278,68.45870366,688,15,45.86666667
E01000124,10,0.003842695,56.6442662,953,10,95.3
E01000126,1,0.000633726,5.007587253,17,1,17
E01000127,2,0.001016978,14.74094949,591,2,295.5
E01000128,1,0.00041184,5.007587253,30,1,30
E01000129,3,0.001720036,23.30370692,305,3,101.6666667
E01000130,14,0.007905987,66.44266204,821,14,58.64285714
E01000131,10,0.002981835,56.6442662,713,10,71.3
E01000132,1,0.00065493,5.007587253,50,1,50
E01000133,2,0.001254752,14.74094949,144,2,72
E01000134,1,0.000623819,5.007587253,631,1,631
E01000135,19,0.005687039,75.42813787,1685,19,88.68421053
E01000136,12,0.002306872,62.02037719,1759,12,146.5833333
E01000137,4,0.003218668,30.65250379,260,4,65
E01000138,19,0.007333076,75.42813787,6762,19,355.8947368
E01000139,14,0.003974179,66.44266204,1508,14,107.7142857
E01000140,22,0.015365596,79.31931498,1775,22,80.68181818
E01000141,22,0.005942798,79.31931498,2376,22,108
E01000142,14,0.006984285,66.44266204,1315,14,93.92857143
E01000143,15,0.008706453,68.45870366,1368,15,91.2
E01000144,24,0.01238569,81.70388034,2005,24,83.54166667
E01000145,4,0.001906269,30.65250379,720,4,180
E01000146,27,0.012946225,84.91220464,5597,27,207.2962963
E01000147,13,0.006400977,64.28571429,1052,13,80.92307692
E01000150,4,0.000861215,30.65250379,954,4,238.5
E01000151,1,0.000699511,5.007587253,35,1,35
E01000152,3,0.001645269,23.30370692,200,3,66.66666667
E01000153,4,0.002422466,30.65250379,235,4,58.75
E01000154,13,0.009757123,64.28571429,10007,13,769.7692308
E01000156,5,0.002804089,36.86321266,442,5,88.4
E01000157,3,0.002407743,23.30370692,172,3,57.33333333
E01000158,8,0.002970257,50.2276176,436,8,54.5
E01000159,5,0.001008679,36.86321266,437,5,87.4
E01000160,7,0.002315803,46.41231303,512,7,73.14285714
E01000161,11,0.004600047,59.4623889,797,11,72.45454545
E01000162,8,0.004358889,50.2276176,700,8,87.5
E01000163,9,0.004596339,53.68523737,512,9,56.88888889
E01000164,10,0.001815768,56.6442662,546,10,54.6
E01000165,4,0.002112546,30.65250379,243,4,60.75
E01000166,2,0.000533757,14.74094949,510,2,255
E01000167,4,0.000666509,30.65250379,98,4,24.5
E01000168,3,0.00095805,23.30370692,344,3,114.6666667
E01000169,0,0,0,0,0,0
E01000170,2,0.00067498,14.74094949,130,2,65
E01000171,2,0.000601101,14.74094949,78,2,39
E01000172,3,0.000551108,23.30370692,209,3,69.66666667
E01000173,1,0.000272264,5.007587253,35,1,35
E01000174,15,0.008008072,68.45870366,1748,15,116.5333333
E01000175,4,0.00079502,30.65250379,499,4,124.75
E01000176,2,0.0008955,14.74094949,110,2,55
E01000177,10,0.005927577,56.6442662,883,10,88.3
E01000178,8,0.00190924,50.2276176,732,8,91.5
E01000179,11,0.007717565,59.4623889,672,11,61.09090909
E01000180,7,0.004119949,46.41231303,659,7,94.14285714
E01000181,10,0.006914434,56.6442662,700,10,70
E01000182,16,0.00738021,70.35551702,2040,16,127.5
E01000183,2,0.000876221,14.74094949,185,2,92.5
E01000184,6,0.000879972,42.02254498,335,6,55.83333333
E01000185,15,0.012608539,68.45870366,567,15,37.8
E01000186,4,0.001601185,30.65250379,241,4,60.25
E01000187,2,0.000938456,14.74094949,87,2,43.5
E01000188,4,0.000125044,30.65250379,156,4,39
E01000189,5,0.003057225,36.86321266,220,5,44
E01000190,4,0.001634321,30.65250379,105,4,26.25
E01000191,4,0.00155082,30.65250379,213,4,53.25
E01000192,2,0.000704468,14.74094949,148,2,74
E01000193,6,0.001983963,42.02254498,743,6,123.8333333
E01000194,10,0.003007971,56.6442662,988,10,98.8
E01000195,1,0.000325554,5.007587253,28,1,28
E01000196,12,0.004873037,62.02037719,1132,12,94.33333333
E01000197,6,0.002150807,42.02254498,364,6,60.66666667
E01000198,9,0.002721664,53.68523737,555,9,61.66666667
E01000199,6,0.00179443,42.02254498,1628,6,271.3333333
E01000200,5,0.001816451,36.86321266,489,5,97.8
E01000201,4,0.001017214,30.65250379,438,4,109.5
E01000202,5,0.002213927,36.86321266,665,5,133
E01000203,11,0.003633373,59.4623889,994,11,90.36363636
E01000204,20,0.00621533,76.80468242,1804,20,90.2
E01000205,5,0.001315094,36.86321266,371,5,74.2
E01000206,8,0.00060486,50.2276176,688,8,86
E01000207,6,0.001741094,42.02254498,248,6,41.33333333
E01000208,3,0.000736359,23.30370692,190,3,63.33333333
E01000209,5,0.001249119,36.86321266,349,5,69.8
E01000210,5,0.000997192,36.86321266,841,5,168.2
E01000211,13,0.004693124,64.28571429,861,13,66.23076923
E01000212,8,0.002314179,50.2276176,633,8,79.125
E01000213,1,0.000233916,5.007587253,170,1,170
E01000214,10,0.002999031,56.6442662,2210,10,221
E01000215,4,0.00179468,30.65250379,210,4,52.5
E01000216,13,0.006618538,64.28571429,961,13,73.92307692
E01000217,7,0.003284257,46.41231303,728,7,104
E01000218,10,0.006630464,56.6442662,1224,10,122.4
E01000219,8,0.004185896,50.2276176,572,8,71.5
E01000220,9,0.005919106,53.68523737,2089,9,232.1111111
E01000221,3,0.0007116,23.30370692,358,3,119.3333333
E01000222,22,0.005317079,79.31931498,1600,22,72.72727273
E01000223,12,0.002198527,62.02037719,1415,12,117.9166667
E01000224,8,0.004943887,50.2276176,791,8,98.875
E01000225,9,0.00291199,53.68523737,1611,9,179
E01000226,2,0.001132811,14.74094949,230,2,115
E01000227,4,0.001566858,30.65250379,165,4,41.25
E01000228,2,6.90E-05,14.74094949,240,2,120
E01000229,0,0,0,0,0,0
E01000230,2,0.000736738,14.74094949,70,2,35
E01000231,2,0.000552486,14.74094949,210,2,105
E01000232,2,0.000672653,14.74094949,88,2,44
E01000233,5,0.001910008,36.86321266,388,5,77.6
E01000234,5,0.001816537,36.86321266,337,5,67.4
E01000235,3,0.000850803,23.30370692,81,3,27
E01000236,6,0.002632861,42.02254498,579,6,96.5
E01000237,27,0.008166426,84.91220464,1393,27,51.59259259
E01000238,3,0.001376096,23.30370692,242,3,80.66666667
E01000239,23,0.005325455,80.52243659,4396,23,191.1304348
E01000240,9,0.002046813,53.68523737,655,9,72.77777778
E01000241,8,0.002393325,50.2276176,746,8,93.25
E01000242,5,0.001800316,36.86321266,516,5,103.2
E01000243,9,0.00486876,53.68523737,745,9,82.77777778
E01000244,12,0.005423704,62.02037719,963,12,80.25
E01000245,5,0.002776097,36.86321266,264,5,52.8
E01000246,3,0.000277693,23.30370692,250,3,83.33333333
E01000247,3,0.001116508,23.30370692,345,3,115
E01000248,3,0.00109018,23.30370692,405,3,135
E01000249,0,0,0,0,0,0
E01000250,2,0.000341817,14.74094949,137,2,68.5
E01000251,6,0.002657066,42.02254498,377,6,62.83333333
E01000252,2,0.00087972,14.74094949,79,2,39.5
E01000253,0,0,0,0,0,0
E01000254,1,6.59E-05,5.007587253,140,1,140
E01000255,2,0.000185317,14.74094949,530,2,265
E01000256,4,0.0007207,30.65250379,176,4,44
E01000257,14,0.002076815,66.44266204,1119,14,79.92857143
E01000258,8,0.001008932,50.2276176,783,8,97.875
E01000259,9,0.000693727,53.68523737,505,9,56.11111111
E01000260,11,0.001344032,59.4623889,1169,11,106.2727273
E01000261,2,0.000167597,14.74094949,68,2,34
E01000263,5,0.001270144,36.86321266,1000,5,200
E01000264,10,0.002608249,56.6442662,825,10,82.5
E01000265,5,0.002377047,36.86321266,375,5,75
E01000266,2,0.000315372,14.74094949,70,2,35
E01000267,1,0.000362097,5.007587253,38,1,38
E01000268,6,0.00237716,42.02254498,660,6,110
E01000269,0,0,0,0,0,0
E01000270,1,0.000397869,5.007587253,50,1,50
E01000271,8,0.002278566,50.2276176,447,8,55.875
E01000272,5,0.001056111,36.86321266,688,5,137.6
E01000273,5,0.001525409,36.86321266,653,5,130.6
E01000274,6,0.002253132,42.02254498,360,6,60
E01000275,4,0.001206309,30.65250379,292,4,73
E01000276,4,0.000780773,30.65250379,587,4,146.75
E01000277,9,0.004881356,53.68523737,522,9,58
E01000278,0,0,0,0,0,0
E01000279,2,3.98E-05,14.74094949,366,2,183
E01000280,5,0.000492557,36.86321266,254,5,50.8
E01000281,4,0.001500797,30.65250379,228,4,57
