OBJECTID,FID_gen_lo,LSOA21CD,gen,FID_gwr_ov,Observed,Cond,LocalR2,Predicted,Intercept,park_density,density_airbnb,NSSES_1_and_2_change_pct,NSSES_3_change_pct,NSSES_4_change_pct,NSSES_5_change_pct,NSSES_6_change_pct,NSSES_7_change_pct,converted_or_share_house_change_pct,average_chn_11_19,Resident_in_UK_4_and_Less_change_pct,1_car_or_van_in_household_change_pct,2_cars_or_vans_in_household_change_pct,income_score_change,compared_mean_price_2011,Residual,StdError,StdErr_Int,StdErrC1_p,StdErrC2_d,StdErrC3_N,StdErrC4_N,StdErrC5_N,StdErrC6_N,StdErrC7_N,StdErrC8_N,StdErrC9_c,StdErrC10_,StdErrC11_,StdErrC12_,StdErrC13_,StdErrC14_,StdErrC15_,StdResid,Source_ID,Shape_Leng,Shape_Area
1.00 ,2.00 ,E01000002,1.00 ,2.00 ,0.01 ,16.20 ,0.50 ,0.36 ,-0.14 ,-0.01 ,-0.04 ,0.31 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.10 ,0.04 ,-0.04 ,0.01 ,0.06 ,0.03 ,-0.35 ,0.30 ,0.10 ,0.02 ,0.08 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.02 ,0.03 ,0.05 ,0.02 ,0.02 ,-1.19 ,2.00 ,2486.58 ,225673.95 
2.00 ,3.00 ,E01000003,1.00 ,3.00 ,0.13 ,17.35 ,0.51 ,0.51 ,-0.14 ,0.00 ,-0.03 ,0.32 ,0.03 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,0.09 ,0.04 ,-0.04 ,-0.01 ,0.06 ,0.03 ,-0.38 ,0.31 ,0.11 ,0.02 ,0.09 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.05 ,0.02 ,0.02 ,-1.22 ,3.00 ,1142.18 ,57288.38 
3.00 ,45.00 ,E01000051,1.00 ,45.00 ,0.09 ,4.54 ,0.41 ,0.65 ,-0.32 ,0.00 ,0.10 ,0.52 ,-0.03 ,0.01 ,0.04 ,-0.01 ,0.01 ,-0.20 ,0.09 ,0.11 ,0.05 ,0.04 ,0.33 ,-0.07 ,-0.56 ,0.30 ,0.03 ,0.02 ,0.07 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,-1.84 ,45.00 ,1051.08 ,65636.03 
4.00 ,117.00 ,E01000126,1.00 ,117.00 ,0.05 ,3.94 ,0.44 ,-0.11 ,-0.27 ,0.03 ,-0.13 ,0.46 ,-0.02 ,0.09 ,-0.05 ,0.02 ,-0.05 ,0.05 ,0.01 ,0.00 ,-0.01 ,0.00 ,0.25 ,-0.01 ,0.16 ,0.33 ,0.03 ,0.02 ,0.07 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.03 ,0.03 ,0.02 ,0.03 ,0.02 ,0.49 ,117.00 ,2139.36 ,157796.84 
5.00 ,141.00 ,E01000152,1.00 ,141.00 ,0.16 ,3.94 ,0.43 ,0.38 ,-0.26 ,0.03 ,-0.14 ,0.44 ,-0.02 ,0.09 ,-0.05 ,0.02 ,-0.04 ,0.04 ,0.00 ,0.00 ,-0.01 ,0.00 ,0.25 ,-0.01 ,-0.22 ,0.30 ,0.03 ,0.02 ,0.07 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.03 ,0.03 ,0.02 ,0.04 ,0.02 ,-0.74 ,141.00 ,3080.69 ,182340.73 
6.00 ,143.00 ,E01000154,1.00 ,143.00 ,0.09 ,3.95 ,0.44 ,-0.31 ,-0.26 ,0.03 ,-0.11 ,0.45 ,-0.03 ,0.09 ,-0.05 ,0.03 ,-0.05 ,0.05 ,0.00 ,0.00 ,-0.01 ,0.00 ,0.25 ,-0.01 ,0.40 ,0.31 ,0.04 ,0.02 ,0.07 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.03 ,0.03 ,0.02 ,0.03 ,0.02 ,1.26 ,143.00 ,2087.46 ,133236.00 
7.00 ,177.00 ,E01000189,1.00 ,177.00 ,0.32 ,4.08 ,0.45 ,0.54 ,-0.30 ,0.00 ,-0.25 ,0.48 ,0.02 ,0.10 ,-0.03 ,-0.02 ,-0.03 ,-0.04 ,0.05 ,0.00 ,0.00 ,-0.02 ,0.23 ,0.01 ,-0.23 ,0.26 ,0.03 ,0.03 ,0.08 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.05 ,0.04 ,0.03 ,0.03 ,0.02 ,0.04 ,0.03 ,-0.88 ,177.00 ,1883.68 ,163546.72 
8.00 ,245.00 ,E01000257,1.00 ,245.00 ,0.16 ,4.07 ,0.42 ,0.18 ,-0.23 ,0.06 ,-0.10 ,0.37 ,-0.04 ,0.05 ,-0.06 ,0.04 ,0.01 ,0.06 ,-0.03 ,0.00 ,-0.01 ,0.02 ,0.19 ,0.00 ,-0.02 ,0.32 ,0.03 ,0.02 ,0.07 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.03 ,0.03 ,0.02 ,0.04 ,0.02 ,-0.08 ,245.00 ,4548.03 ,674109.43 
9.00 ,268.00 ,E01000281,1.00 ,268.00 ,0.29 ,4.95 ,0.44 ,0.80 ,-0.19 ,0.03 ,0.05 ,0.35 ,-0.02 ,0.00 ,-0.07 ,0.03 ,0.02 ,0.10 ,-0.03 ,-0.05 ,-0.01 ,0.06 ,0.16 ,0.01 ,-0.51 ,0.27 ,0.04 ,0.02 ,0.08 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,-1.91 ,268.00 ,3244.09 ,266525.23 
10.00 ,278.00 ,E01000291,1.00 ,278.00 ,0.08 ,4.81 ,0.43 ,0.38 ,-0.23 ,0.02 ,-0.05 ,0.37 ,-0.03 ,0.03 ,-0.06 ,0.02 ,0.03 ,0.09 ,-0.03 ,-0.03 ,0.00 ,0.03 ,0.18 ,0.00 ,-0.30 ,0.32 ,0.03 ,0.02 ,0.08 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.03 ,0.03 ,0.02 ,0.04 ,0.02 ,-0.95 ,278.00 ,3012.51 ,243929.37 
