LSOA21CD,cafe_other_pct,school_pct
E01000001,0.016633901,0.01513703
E01000003,0.010002937,0.06084974
E01000005,0.002480923,0.018248779
E01000007,0.002340556,0.022707582
E01000053,0.000666512,0.08016288
E01000085,0.001523318,0.097157013
E01000090,0.000904036,0.002647088
E01000095,0.001916082,0.010339449
E01000101,0.000754136,0.021235223
E01000102,0.001935942,0.010694563
E01000105,0.000167456,0.039839781
E01000108,0.000217675,0.091964454
E01000114,0.000158621,0.232019363
E01000151,0.042127336,0.250129186
E01000154,0.068452604,0.00328956
E01000160,0.000944498,0.005074545
E01000175,0.000932361,0.011001514
E01000209,0.001428688,0.044240463
E01000237,0.000362901,0.104683056
E01000268,0.001458339,0.005750535
E01000282,0.000809249,0.008666211
E01000284,0.000201589,0.058162813
E01000288,0.002645039,0.029575397
E01000292,0.000309594,0.000557487
E01000298,0.000139528,0.030926272
E01000299,0.015977762,0.028463696
E01000302,0.000727815,0.036354505
E01000313,0.000405139,0.003021533
E01000324,0.000338091,0.062859223
E01000327,0.000147834,0.00293453
E01000330,0.000804684,0.06704688
E01000333,0.000382956,0.072798603
E01000335,0.000275636,0.016859295
E01000350,0.000127275,0.001572031
E01000360,0.004267332,0.11861376
E01000365,0.001602928,0.134783616
E01000376,0.001268641,0.088592517
E01000389,0.000923914,0.045296196
E01000423,0.000257107,0.017029907
E01000424,0.000890671,0.005282585
E01000428,1.70169E-05,0.067594733
E01000436,0.000171413,0.023315071
E01000447,0.000372968,0.037796391
E01000448,0.00057459,0.043218815
E01000449,0.00063467,0.070128475
E01000457,0.002850742,0.001333257
E01000459,0.000122594,0.006828385
E01000462,0.00051417,0.175307486
E01000465,0.000464472,0.035446783
E01000466,0.000898081,0.05301347
E01000491,0.000256972,0.009421575
E01000493,0.001152043,0.026329958
E01000495,0.000429175,0.028470768
E01000502,0.000283723,0.062395016
E01000531,0.000501385,0.017616828
E01000548,0.00308968,0.011006168
E01000580,0.00090626,0.02368792
E01000583,0.000293758,0.003889133
E01000586,0.000537774,0.085146774
E01000608,0.000804037,0.000914531
E01000646,0.000170556,0.052832075
E01000648,0.000137705,0.044554522
E01000656,3.06806E-05,0.007880424
E01000658,0.00018084,0.016177786
E01000671,0.000200739,0.015840561
E01000677,0.0015394,0.058599505
E01000714,0.000236751,0.012708247
E01000722,0.000135688,0.00045031
E01000725,0.000188483,0.012923354
E01000727,0.000495795,0.02397862
E01000729,0.000324726,0.014839735
E01000730,0.000886886,0.056227229
E01000739,0.00036354,0.021969295
E01000759,3.47938E-05,0.016072589
E01000767,0.000606748,0.000163192
E01000769,0.000508198,0.006273548
E01000770,0.000259114,0.068085284
E01000779,0.000658216,0.025263606
E01000799,0.000667718,0.173814245
E01000806,0.000743237,0.088517599
E01000843,0.002239378,1.86935E-06
E01000845,0.002071638,0.00212578
E01000846,0.000594965,0.02217886
E01000850,0.082441348,0.004418237
E01000855,0.050972059,0.001300396
E01000856,0.004275551,0.001019399
E01000858,0.003583294,0.013744305
E01000861,0.001210461,0.041343518
E01000862,0.005334294,0.031685777
E01000863,0.003841185,0.000508091
E01000879,0.00089206,0.052677687
E01000880,0.002808638,0.083708379
E01000881,0.000630035,0.006524098
E01000883,0.009041078,0.052309803
E01000885,0.000343603,0.012030562
E01000895,0.001857762,0.080726906
