LSOA21CD,housing_price_change_pct,housing_mediam_price_change_pct,young_people_change_pct,middle_aged_people_change_pct,more_65_people_change_pct,older_middle_aged_people_change_pct,household_more_65_change_pct,household_no_children_change_pct,household_dependent_children_change_pct,household_non_dependent_children_change_pct,lone_parent_dependent_children_change_pct,lone_parent_non_dependent_children_change_pct,middle_under_65_change_pct,all_household_dependent_children_change_pct,all_household_non_dependent_children_change_pct,Ethnic_group_White_change_pct,Ethnic_group_Black_change_pct,Resident_in_UK_4_and_Less_change_pct,Resident_in_UK_5_and_more_change_pct,NSSES_1_change_pct,NSSES_2_change_pct,NSSES_3_change_pct,NSSES_4_change_pct,NSSES_5_change_pct,NSSES_6_change_pct,NSSES_7_change_pct,NSSES_8_change_pct,sum_NSSES_1_change_pct,sum_NSSES_2_change_pct,sum_NSSES_3_change_pct,sum_NSSES_4_change_pct,sum_NSSES_5_change_pct,1_car_or_van_in_household_change_pct,2_cars_or_vans_in_household_change_pct,population_density_change_pct,sum_NSSES_6_change_pct,religionNo_religion_change_pct,tenure_social_rented_change_pct,tenure_private_rented_change_pct,tenure_living_rent_free_change_pct,tenure_owned_change_pct,Central_Heating_have_central_heating_change_pct,Work_mainly_at_or_from_home_change_pct,Administrative_and_secretarial_occupations_change_pct,professional_occupations_change_pct,Associate_professional_and_technical_occupations_change_pct,other_higer_occupation_change_pct,Elementary_occupations_change_pct,house_change_pct,flat_change_pct,converted_or_share_house_change_pct,average_number_of_rooms_per_household_change_pct,average_number_of_bedrooms_per_household_change_pct,Income_Rank_change_pct,all_usual_residents_change_pct,administrative_and_secretarial_occupations_change_pct,professional_and_technical_occupations_change_pct,rented_change_pct,owned_change_pct,shared_ownership_change_pct,living_rent_free_change_pct,social_rented_change_pct,Passenger_in_a_car_or_van_change_pct,Full_time_31_to_48_hours_change_pct,Full_time_49_or_more_hours_change_pct,average_density_change_pct,New_build_2011_2018_pct,Conversion_2011_2018_pct,average_chn_11_19,income_score_change,park_area,park_density,to_park_in_300m
E01000001,0.663366337,0.669865405,1.81,0.01,6.83,-9.48,5.57,2.02,1.64,-0.28,0.16,-0.77,-9.47,1.8,-1.05,-4.33,0,4.83,3.27,5.78,-4.23,-0.16,3.17,-0.07,0.53,0.54,1.08,1.55,-0.16,3.17,0.46,0.54,-3.64,-2.6,0.003558999,1.08,9.7,-2.06,8.98,-3.88,-3.65,-1.59,33.48,-1.04,-2.81,-1.64,-2.68,-0.55,1.15,-20.56,0.56,-88.4,-206.7,0.000201268,0.005460751,-1.04,-2.81,3.04,-3.65,0.14,-3.88,-2.06,-0.27,4.41,-8.18,0.355899882,0,0.005497073,0.14,-0.004,39341.20163,29.4120034,1
E01000002,0.549763033,0.50373349,4.44,2.5,1.28,-4.75,-0.22,-0.55,-3.92,0.25,0.01,0.38,-2.25,-3.91,0.63,-10.4,0.51,9.78,8.36,9.52,-1.43,-1.81,0.94,-0.53,-0.52,0.09,2.12,8.09,-1.81,0.94,-1.06,0.09,-10.06,-1.42,-0.033922513,2.12,8.74,-2.5,17.78,-3.37,-10.94,-0.13,38.46,-1.72,1.09,-0.91,-2.63,-0.4,1.58,-16.7,1.75,-86.64444444,-203.7,-0.061588004,-0.036211699,-1.72,1.09,11.91,-10.94,-0.72,-3.37,-2.5,0.15,0.42,0.19,-3.392251297,0.067093052,0.165370274,0.13,0.022,66281.88633,29.37063478,1
E01000003,0.270139951,0.026986368,0.23,0.1,-1.2,5.7,-4.23,5.94,-1.25,0.62,-1.78,0.1,5.8,-3.03,0.72,-4.29,0.13,2.75,7.5,10.72,2.55,0.75,3.04,-0.84,-0.71,0.7,0.67,13.26,0.75,3.04,-1.56,0.7,-1.5,0.12,0.198301309,0.67,13.37,-6.41,11.08,-1.88,-2.85,-0.52,32.44,-0.52,3.01,-0.27,-0.79,-0.74,-0.12,-22.39,1.25,-109.2,-251.85,0.004629164,0.198365527,-0.52,3.01,2.79,-2.85,-0.12,-1.88,-6.41,0.36,0.31,-2.59,19.83013089,0,0.135594463,0.15,-0.019,35241.75636,61.51639138,1
E01000005,,,0.87,-0.85,-3.44,3.55,-3.45,1.47,0.29,1.2,0.08,1.39,2.7,0.37,2.59,-12.86,0.66,3.84,5.83,4.04,-4.74,-1.76,0.81,-1.67,-0.89,2.66,3.96,-0.71,-1.76,0.81,-2.55,2.66,-2.12,-0.04,0.118148989,3.96,4.39,3,0.17,-1.71,-1.46,1.09,14.89,-2.41,3.5,-3.78,-6.19,0.8,0.22,4.13,1.08,-49.14444444,-116.8,-0.102646674,0.117766497,-2.41,3.5,1.46,-1.46,0.21,-1.71,3,-0.11,3.87,-6.72,11.81489887,0,0.052222192,0.13,-0.006,0,0,0
E01000006,0.704781705,0.826442514,-0.84,-6.56,0.77,5.79,1.1,-4.75,0.91,1.32,3.49,0.28,-0.77,4.4,1.6,0.13,0.47,-4.22,4.85,0.01,-1.29,0.08,3.24,0.1,-0.19,3.15,0.47,-1.28,0.08,3.24,-0.08,3.15,-0.55,1.13,0.083384971,0.47,-0.93,0.66,13.61,-0.37,-14.8,1.16,6.84,-1.07,-1.38,0.85,-0.22,2.63,49.2,7.1,3.75,-55.45555556,-134.7,-0.029586394,0.081620669,-1.07,-1.38,13.9,-14.8,0.72,-0.37,0.66,-0.05,-2.86,-2.42,8.338497138,3.37E-05,0,0.26,-0.016,0,0,0
E01000007,1.444444444,-2.819528925,-2.9,1.01,-1.69,6.96,-4.17,0.02,2.46,1.7,0.97,1.56,7.97,3.43,3.26,-2.74,0.54,-4.35,7.95,3.34,1.35,-0.22,1.22,-1.55,-2.13,1.5,0.6,4.68,-0.22,1.22,-3.69,1.5,4.06,-2.01,1.085582085,0.6,0.92,-2.71,-1.23,-0.64,-2.55,0,10.73,0.04,2.59,1.12,1.16,0.45,12.32,5.94,0.26,-128.1444444,-295.05,0.095199758,1.087706686,0.04,2.59,-4.58,-2.55,7.14,-0.64,-2.71,-0.07,-0.56,0.53,108.5582085,0.120315256,0.036189063,0.31,-0.093,0,0,0
E01000008,0.928571429,-0.854793886,-1.65,-8.28,0.93,8.41,0.95,-0.36,7.67,0.71,-2.79,1.37,0.13,4.88,2.08,-6.35,2.78,-5.17,1.69,0.86,0.31,1.45,2.48,-0.34,-1.54,2.53,-1.17,1.16,1.45,2.48,-1.87,2.53,3.81,2.54,0.166446838,-1.17,-3.11,-10.34,11.52,-0.61,-2.01,-0.58,2.65,0.07,-0.01,0.99,1.06,-1.24,3.97,28.84,1.44,-55.92222222,-133.7,-0.047096709,0.160621762,0.07,-0.01,0.57,-2.01,0.9,-0.61,-10.34,0.16,-1.08,-1.59,16.64468377,0,0.006413252,0.17,-0.025,0,0,0
E01000009,0.079470199,-1.482935041,-3.38,-2.77,-1.17,2.91,-2.87,-0.55,6.53,0.42,-1.25,1.37,0.14,5.28,1.79,6.59,-1.66,-4.63,6.14,0.78,-4.09,-1.58,6.84,-0.34,-1.94,3.71,2.08,-3.3,-1.58,6.84,-2.29,3.71,-1.38,1.64,0.024605216,2.08,3.11,-1.23,8.5,-0.3,-6.85,0.29,6.45,-0.58,-1.13,-1.81,-2.39,1.88,33.09,9.9,2.34,-61.37777778,-147.2,-0.023347087,0.016920474,-0.58,-1.13,6.97,-6.85,-0.63,-0.3,-1.23,0.54,-3.36,0.88,2.460521556,0.00033749,0.003664715,0.23,-0.032,0,0,0
E01000011,0.939252336,1.93682941,-5.25,-2.31,2.19,3.62,0.21,-0.23,4.99,1.05,-1.73,1.11,1.31,3.26,2.16,7.2,1.36,0.24,3.77,-0.3,-0.66,-0.6,6.78,-1.08,-1.19,3.1,0.39,-0.96,-0.6,6.78,-2.28,3.1,-4.64,-0.96,0.041003441,0.39,-0.66,-1.75,14.25,-2.63,-8.77,-0.73,4.93,-0.44,-0.14,-0.72,-1.16,0.55,56.56,-2.23,10.2,-46.54444444,-114.45,-0.004830432,0.041615667,-0.44,-0.14,9.87,-8.77,-1.32,-2.63,-1.75,1.04,-6.16,5.3,4.100344138,0,0.008245609,0.24,-0.036,0,0,0
E01000012,1.214285714,-2.398718543,-2.29,-8.24,1.08,5.4,1.32,0.78,3.87,1.16,-0.97,0.74,-2.84,2.9,1.9,-0.67,1.34,-6.27,2.86,0.13,-2.9,0.25,1.99,-0.7,-1.99,2.21,0.63,-2.76,0.25,1.99,-2.7,2.21,0.72,2.05,0.231246861,0.63,5.52,6.42,-4.59,-0.31,-4.63,3.05,5.43,-1.28,-0.09,0.05,-1.23,0.58,16.18,21.12,0.64,-82.21111111,-192.75,-0.051927141,0.2351394,-1.28,-0.09,1.52,-4.63,2.98,-0.31,6.42,-0.28,-2.56,-3.15,23.1246861,0.022915585,0.000458089,0.29,-0.024,0,0,0
